Judul,Perusahaan,Lokasi,Jurusan
Higiene Perusahaan Kesehatan dan Keselamatan Kerja,Rsupn Dr. Cipto Mangunkusumo,"Jl. Diponegoro No. 71, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Higiene Perusahaan Kesehatan dan Keselamatan Kerja
Manajemen Kedokteran,Rsupn Dr. Cipto Mangunkusumo,"Jl. Diponegoro No. 71, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Kedokteran
Sekretaris,Rsupn Dr. Cipto Mangunkusumo,"Jl. Diponegoro No. 71, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Sekretari
Pengelola Wisata Medis,Rsupn Dr. Cipto Mangunkusumo,"Jl. Diponegoro No. 71, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Manajemen Bisnis Pariwisata
Manajemen Informasi Kesehatan,Rsupn Dr. Cipto Mangunkusumo,"Jl. Diponegoro No. 71, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Manajemen Informasi Kesehatan
Magang Marketing Communication,Trans Indonesia Superkoridor,"Rukan Artha Gading Niaga Blok E no 11-12 -15A, Jalan Boulevard Artha Gading nomor 12, KOTA ADM. JAKARTA UTARA, DKI JAKARTA","Komunikasi Digital dan Media, Manajemen Pemasaran/Marketing"
HRIS & Process Improvement Analyst Intern,Home Credit Indonesia,"PLAZA OLEOS LT.8, JL. T.B SIMATUPANG NO.53A, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Psikologi, Manajemen, Statistika"
Staf Rekam Medis,Rumah Sakit Pusat Otak Nasional Prof. Dr. dr. Mahar Mardjono Jakarta,"Jalan MT Haryono Kavling 11, Cawang Jakarta, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Perekam Medis dan Informasi Kesehatan
Asisten Pengelola Data dan Informasi Pelatihan 3 - PUSLAT,Lembaga Kebijakan Pengadaan Barang /Jasa Pemerintah,"Kompleks Rasuna Epicentrum, Jalan Epicentrum Tengah Lot 11B, Karet Kuningan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ilmu Komputer, Sistem Informasi, Teknik Informatika, Teknologi Informasi, Informatika"
Teknisi laboratorium,Biro Perencanaan dan Kerja Sama (RECFON),"Jl. Utan Kayu Raya No.1A, RT.1/RW.8, Utan Kayu Utara, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13120, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Analis Kimia, Kimia, Biologi"
Analis Perencanaan,Badan Pusat Statistik,"Jl. Dr. Soetomo No 6-8, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Statistik, Akuntansi, Administrasi, Manajemen, Teknologi Informasi"
Sekretaris,Biro Perencanaan dan Kerja Sama (RECFON),"Jl. Utan Kayu Raya No.1A, RT.1/RW.8, Utan Kayu Utara, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13120, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Sekretari, Administrasi, Administrasi Perkantoran"
Analis Diklat,Biro Perencanaan dan Kerja Sama (RECFON),"Jl. Utan Kayu Raya No.1A, RT.1/RW.8, Utan Kayu Utara, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13120, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Ilmu Gizi Masyarakat dan Keluarga, Ilmu Gizi, Kesehatan Masyarakat, Ilmu Kesehatan Masyarakat, Manajemen Pendidikan"
Asisten Analis Data Ilmiah - D41,Lembaga Kebijakan Pengadaan Barang /Jasa Pemerintah,"Kompleks Rasuna Epicentrum, Jalan Epicentrum Tengah Lot 11B, Karet Kuningan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Statistik, Komputasi Statistik, Sains Data, Ekonomi Pembangunan"
Analis Pengembangan Program Pelatihan,Badan Pusat Statistik,"Jl. Dr. Soetomo No 6-8, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Akuntansi, Administrasi, Manajemen, Teknologi Informasi, Hukum"
Radiografer,Rumah Sakit Pusat Otak Nasional Prof. Dr. dr. Mahar Mardjono Jakarta,"Jalan MT Haryono Kavling 11, Cawang Jakarta, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Radiodiagnostik dan Radioterapi
Data Analyst,Rumah Sakit Pusat Otak Nasional Prof. Dr. dr. Mahar Mardjono Jakarta,"Jalan MT Haryono Kavling 11, Cawang Jakarta, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Sains Data
Asisten Analis Kerjasama Internasional 1 - D13,Lembaga Kebijakan Pengadaan Barang /Jasa Pemerintah,"Kompleks Rasuna Epicentrum, Jalan Epicentrum Tengah Lot 11B, Karet Kuningan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ilmu Hukum, Hukum Tata Negara, Hubungan Internasional, Administrasi Publik, Ilmu Administrasi Negara"
Tenaga Teknologi Laboratorium Medis,Rumah Sakit Pusat Otak Nasional Prof. Dr. dr. Mahar Mardjono Jakarta,"Jalan MT Haryono Kavling 11, Cawang Jakarta, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Teknologi Laboratorium Medik
Staf Pembinaan Pemasaran,Direktorat Pemasaran,"Jl. Medan Merdeka Timur No.16 Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Sosial Ekonomi Perikanan, Manajemen Pemasaran"
Pengolah Data Ekspor Perikanan Indonesia,Direktorat Pemasaran,"Jl. Medan Merdeka Timur No.16 Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Sosial Ekonomi Perikanan
Pengolah Data Impor Perikanan Indonesia,Direktorat Pemasaran,"Jl. Medan Merdeka Timur No.16 Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Sosial Ekonomi Perikanan
Statistisi Pengembangan Metodologi Sensus dan Survei,Badan Pusat Statistik,"Jl. Dr. Soetomo No 6-8, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Statistik, Geografi, Teknologi Informasi"
Asisten Statistisi - D21,Lembaga Kebijakan Pengadaan Barang /Jasa Pemerintah,"Kompleks Rasuna Epicentrum, Jalan Epicentrum Tengah Lot 11B, Karet Kuningan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Statistika, Statistik"
Administrasi/ Entry Data/ Pengolah Data di Pusat,Badan Standarisasi Nasional,"Jl. Kuningan Barat Raya No. 01A, Kuningan, Mampang Prapatan, Jakarta Selatan, DKI Jakarta 12710, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Statistik, Ilmu Komputer, Ekonomi Pembangunan"
Pengembang Infrastruktur teknologi dan keamanan Informasi,Badan Standarisasi Nasional,"Jl. Kuningan Barat Raya No. 01A, Kuningan, Mampang Prapatan, Jakarta Selatan, DKI Jakarta 12710, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Informatika, Ilmu Komputer"
Asisten Perantaraan Kerja (Pusat),Direktorat Bina Perluasan Kesempatan Kerja,"Jl. Gatot Subroto No.Kav 51, RT.5/RW.4, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi, Ekonomi, Statistik, Manajemen, Desain Grafis"
Sekretaris,Direktorat Jenderal Informasi dan Diplomasi Publik,"Jl. Taman Pejambon No. 6, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Administrasi Perkantoran, Manajemen, Administrasi BIsnis"
Analis Lab Mikrobiologi,Integrasi Lab Indonesia,"KOMPLEK PRISMA KEDOYA PLAZA BLOK A 15, JL. RAYA PERJUANGAN,  KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Biologi, Mikrobiologi"
Pengelola Arsip Biro Pengelolaan Barang Milik Negara,Biro Pengelolaan Barang Milik Negara,"Jl. Pattimura Nomor 20, Kebayoran Baru, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Kearsipan, Informasi, Perpustakaan & Kearsipan"
Komunikasi Publik,BIRO BARANG MILIK NEGARA,"JL. Rasuna Said Kav X6 No. 8 Kuningan
Jakarta Selatan, DKI Jakarta - 12940, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ilmu Komunikasi, Desain Grafis, Teknik Informatika"
Analis Kebijakan,Pusat Kebijakan Sarana Transportasi,"Jl. Medan Merdeka Tim. No.5, RT.2/RW.1, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Transportasi, Manajemen Transportasi, Teknik Penerbangan, Teknik Kelautan, Hukum"
Pengadministrasi Umum,BIRO BARANG MILIK NEGARA,"JL. Rasuna Said Kav X6 No. 8 Kuningan
Jakarta Selatan, DKI Jakarta - 12940, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ekonomi, Akuntansi, Manajemen"
Marketing Event,Adhya Tengah Perkasa,"JL. RAYA KEBAYORAN LAMA NO. 396, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Ilmu Komunikasi, Manajemen Pemasaran/Marketing, Hubungan Masyarakat, Hospitality dan Pariwisata, Administrasi Bisnis"
Backend Developer,PT Trans Retail Indonesia,"Jl. Jenderal Ahmad Yani No.83, RT.10/RW.7, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10510, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Teknik Informatika, Pendidikan Teknologi Informatika dan Komputer, Teknik Komputer, Sistem Dan Teknologi Informasi"
Analis Perencana,Biro Perencanaan,"Jalan Medan Merdeka Timur Nomor 16 Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Pembangunan Ekonomi Kewilayahan, Ilmu Ekonomi"
Programmer,Biro Perencanaan,"Jalan Medan Merdeka Timur Nomor 16 Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Teknik Informatika
Job Desk Marketing Intern – BPJS Ketenagakerjaan (Kantor Cabang),Kacab Jakarta Mampang,"BPJS KETENAGAKERJAAN JAKARTA MAMPANG Buncit Business Center Jalan Buncit Raya.24 Kav A-1, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Manajemen Pemasaran/Marketing, Administrasi Bisnis, Hubungan Masyarakat Dan Komunikasi Digital, Ilmu Komunikasi"
Site Spv,PT. Era Bangun Jaya,"Perkantoran Mitra Matraman Blok C.5-6, Jl. Matraman Raya No. 148, Jakarta Timur - 13150., KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Teknik Sipil
Pengelola BMN,BALAI PEMASYARAKATAN KELAS I JAKARTA TIMUR/UTARA,"Jl. Pembina I Nomor 2 Cipinang Muara, Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Manajemen Aset Publik
Project Engineer,PT. Era Bangun Jaya,"Perkantoran Mitra Matraman Blok C.5-6, Jl. Matraman Raya No. 148, Jakarta Timur - 13150., KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Teknik Sipil
Staf Administrasi,Sultan Monarki Nusantara,"Jalan Teratai No 11, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Administrasi, Akuntansi, Bahasa Inggris, Ekonomi"
Melakukan pengarsipan Dokumen SS KCKR,Direktorat Deposit dan Pengembangan Koleksi Perpustakaan,"Jl. Salemba Raya No. 28A Jakarta Pusat 10430, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Informasi, Perpustakaan & Kearsipan, Kearsipan, Kearsipan Digital"
Input dan pelaporan data pengiriman koleksi KCKR ke pengolahan,Direktorat Deposit dan Pengembangan Koleksi Perpustakaan,"Jl. Salemba Raya No. 28A Jakarta Pusat 10430, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ilmu Perpustakaan, Ilmu Perpustakaan dan Informasi, Ilmu Perpustakaan dan Informasi Islam"
Analis Kebijakan Bidang Sistem Informasi,Direktorat Multimoda,"JL. MERDEKA BARAT NO.8 JAKARTA, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Sistem Informasi
QA / QC,Samudra Montaz,"JL. PAHLAWAN REVOLUSI, NO.74, PONDOK BAMBU,JAKARTA TIMUR, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Pendidikan Kimia, Teknologi Kimia Industri, Analis Kimia, Kimia Industri, Teknologi Kimia"
Intern Legal,Dahono Consulting Agency,"Jalan Agung Indah 10, KOTA ADM. JAKARTA UTARA, DKI JAKARTA","Hukum, Hukum Bisnis, Ilmu Hukum"
Staf Administrasi - Sekretariat Direktorat Jenderal Pengembangan Ekonomi dan Investasi DDT,"Kementerian Desa, Pembangunan Daerah Tertinggal dan Transmigrasi","Jalan TMP. Kalibata Nomor 17, Jakarta Selatan, DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Informatika, Desain Grafis, Manajemen Ekonomi, Administrasi Perkantoran, Teknik Grafika"
Staf Administrasi - Pusat Pelatihan Sumber Daya Manusia Desa dan Daerah Tertinggal,"Kementerian Desa, Pembangunan Daerah Tertinggal dan Transmigrasi","Jalan TMP. Kalibata Nomor 17, Jakarta Selatan, DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Negara, Teknik Informatika, Psikologi, Sosiologi, Ilmu Pertanian"
Staf Administrasi - Biro Umum dan Layanan Pengadaan,"Kementerian Desa, Pembangunan Daerah Tertinggal dan Transmigrasi","Jalan TMP. Kalibata Nomor 17, Jakarta Selatan, DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Sipil, Informasi, Perpustakaan & Kearsipan, Teknik Mesin, Keperawatan, Teknik Elektro"
Staf Administrasi -  Direktorat Penyerasian Pemanfaatan SDA dan Lingkungan Daerah Tertinggal,"Kementerian Desa, Pembangunan Daerah Tertinggal dan Transmigrasi","Jalan TMP. Kalibata Nomor 17, Jakarta Selatan, DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Lingkungan, Perikanan Dan Kelautan, Biologi, Pertanahan, Teknik Geologi"
Staf Administrasi- Sekretariat Badan Pengembangan dan Informasi Desa dan Daerah Tertinggal,"Kementerian Desa, Pembangunan Daerah Tertinggal dan Transmigrasi","Jalan TMP. Kalibata Nomor 17, Jakarta Selatan, DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Psikologi, Hukum, Manajemen Ekonomi, Akuntansi, Ekonomi Pembangunan"
Staf Administrasi - Pusat Pengembangan Pemberdayaan Masyarakat Desa dan Daerah Tertinggal,"Kementerian Desa, Pembangunan Daerah Tertinggal dan Transmigrasi","Jalan TMP. Kalibata Nomor 17, Jakarta Selatan, DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ekonomi, Ilmu Politik, Psikologi, Desain Media, Sosiologi"
Staf Administrasi - Pusat Evaluasi Kebijakan Pembangunan Desa dan Daerah Tertinggal,"Kementerian Desa, Pembangunan Daerah Tertinggal dan Transmigrasi","Jalan TMP. Kalibata Nomor 17, Jakarta Selatan, DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ilmu Politik, Hukum, Ilmu Pemerintahan, Ekonomi Pembangunan, Manajemen dan Kebijakan Publik"
Staf Administrasi - Direktorat Advokasi dan Kerja Sama Desa dan Perdesaan,"Kementerian Desa, Pembangunan Daerah Tertinggal dan Transmigrasi","Jalan TMP. Kalibata Nomor 17, Jakarta Selatan, DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Hukum, Ekonomi, Antropologi Sosial, Ilmu Politik, Kehutanan"
Staf Administrasi - Pusat Pelatihan Pegawai Aparatur Sipil Negara Kementerian,"Kementerian Desa, Pembangunan Daerah Tertinggal dan Transmigrasi","Jalan TMP. Kalibata Nomor 17, Jakarta Selatan, DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Negara, Teknik Informatika, Psikologi, Teknologi Pendidikan, Manajemen Sumber Daya Manusia"
Staf Administrasi - Pusat Pembinaan Jabatan Fungsional,"Kementerian Desa, Pembangunan Daerah Tertinggal dan Transmigrasi","Jalan TMP. Kalibata Nomor 17, Jakarta Selatan, DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Manajemen, Teknik Informatika, Psikologi, Ekonomi, Sosiologi"
Staf Administrasi - Direktorat Perencanaan Teknis Pengembangan Ekonomi dan Investasi DDT,"Kementerian Desa, Pembangunan Daerah Tertinggal dan Transmigrasi","Jalan TMP. Kalibata Nomor 17, Jakarta Selatan, DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Statistika, Akuntansi, Manajemen dan Kebijakan Publik, Administrasi Negara, Ekonomi Pembangunan"
Staf Administrasi -Sekretariat Inspektorat Jenderal,"Kementerian Desa, Pembangunan Daerah Tertinggal dan Transmigrasi","Jalan TMP. Kalibata Nomor 17, Jakarta Selatan, DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Psikologi, Hukum, Sistem dan Teknologi Informasi, Manajemen Ekonomi, Akuntansi"
Staf Administrasi - Pusat Data dan Informasi Pembangunan Desa dan Daerah Tertinggal,"Kementerian Desa, Pembangunan Daerah Tertinggal dan Transmigrasi","Jalan TMP. Kalibata Nomor 17, Jakarta Selatan, DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ilmu Komputer, Multimedia, Statistika, Sistem dan Teknologi Informasi, Desain Komunikasi Visual"
Staf Administrasi - Inspektorat IV,"Kementerian Desa, Pembangunan Daerah Tertinggal dan Transmigrasi","Jalan TMP. Kalibata Nomor 17, Jakarta Selatan, DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Negara, Hukum, Ilmu Pemerintahan, Akuntansi, Sistem Informasi"
Staf Administrasi- Pusat Pengembangan Kebijakan dan Keterpaduan Rencana Pembangunan DDT,"Kementerian Desa, Pembangunan Daerah Tertinggal dan Transmigrasi","Jalan TMP. Kalibata Nomor 17, Jakarta Selatan, DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Manajemen, Ekonomi, Hukum, Ilmu Pemerintahan, Manajemen dan Kebijakan Publik"
Staf Administrasi- Pusat Pengembangan Daya Saing Desa dan Daerah Tertinggal,"Kementerian Desa, Pembangunan Daerah Tertinggal dan Transmigrasi","Jalan TMP. Kalibata Nomor 17, Jakarta Selatan, DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ilmu Politik, Manajemen, Hukum, Ilmu Pemerintahan, Ekonomi Pembangunan"
Staf Administrasi - Inspektorat II,"Kementerian Desa, Pembangunan Daerah Tertinggal dan Transmigrasi","Jalan TMP. Kalibata Nomor 17, Jakarta Selatan, DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Hukum, Ilmu Pemerintahan, Akuntansi, Perencanaan Tata Ruang dan Pertanahan, Teknik Informatika"
Staf Administrasi - Direktorat Pengembangan Kelembagaan Ekonomi dan Investasi DDT,"Kementerian Desa, Pembangunan Daerah Tertinggal dan Transmigrasi","Jalan TMP. Kalibata Nomor 17, Jakarta Selatan, DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Manajemen, Ekonomi, Akuntansi, Statistika, Manajemen dan Kebijakan Publik"
Staf Administrasi - Sekretariat BPSDM PMDDT,"Kementerian Desa, Pembangunan Daerah Tertinggal dan Transmigrasi","Jalan TMP. Kalibata Nomor 17, Jakarta Selatan, DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ekonomi, Psikologi, Hukum, Administrasi Negara, Sosiologi"
Staf Administrasi - Direktorat Pengembangan Produk Unggulan Desa dan Daerah Tertinggal,"Kementerian Desa, Pembangunan Daerah Tertinggal dan Transmigrasi","Jalan TMP. Kalibata Nomor 17, Jakarta Selatan, DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Peternakan, Teknik Industri, Perikanan Dan Kelautan, Ilmu Pertanian, Manajemen Ekonomi"
PENATA LAKSANA BANGUNAN PEMASYARAKATAN,Direktorat Jenderal Pemasyarakatan,"Jalan Veteran Nomor 11, Gambir, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Manajemen Konstruksi, Manajemen Proyek Konstruksi"
Teknisi Mekanik,Petrochina International Jabung Ltd,"Gedung Menara Kuningan Lt. GF, Lt. 19 - Lt.27,
Jl. HR. Rasuna Said Block X-7 Kav. 5
Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Teknik Mesin
Teknisi Instrument,Petrochina International Jabung Ltd,"Gedung Menara Kuningan Lt. GF, Lt. 19 - Lt.27,
Jl. HR. Rasuna Said Block X-7 Kav. 5
Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Teknik Instrumentasi
Video Editor,Biro Hubungan Masyarakat,"Jalan Jenderal Gatot Subroto Kav. 51, Jakarta Selatan., KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ilmu Komunikasi, Desain Komunikasi Visual, Multimedia"
Teknisi listrik,Petrochina International Jabung Ltd,"Gedung Menara Kuningan Lt. GF, Lt. 19 - Lt.27,
Jl. HR. Rasuna Said Block X-7 Kav. 5
Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Teknik Listrik
marketing staff,But China Railway 11 Bureau Group Corporation,"Gedung Noble House Lantai 10 Unit 5, JL. Dr. Ide Anak Agung Gede Kav. E4.2, 02, Kuningan Timur, Setiabudi, Kota Adm. Jakarta Selatan, DKI Jakarta, 12950, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Administrasi Bisnis
Operations,Win Medika Health,"Jalan Kemang Timur Nomor 1, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ilmu Komunikasi, Administrasi Bisnis, Bisnis Digital, Bisnis Manajemen Retail, Manajemen"
Civil engineer,But China Railway 11 Bureau Group Corporation,"Gedung Noble House Lantai 10 Unit 5, JL. Dr. Ide Anak Agung Gede Kav. E4.2, 02, Kuningan Timur, Setiabudi, Kota Adm. Jakarta Selatan, DKI Jakarta, 12950, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Konstruksi Sipil
Penelaah Teknis Kebijakan,Biro Hukum,"Jalan MT Haryono Kav 52, Pancoran, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ilmu Hukum, Hukum"
Customer Experiences,Win Medika Health,"Jalan Kemang Timur Nomor 1, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Manajemen, Ilmu Komunikasi, Psikologi, Administrasi Bisnis"
Pengelola Keuangan dan Anggaran,KANIM KELAS I KHUSUS NON TPI JAKARTA SELATAN,"Jl Hj Tutty Alawiyah No 207 Mampang Jaksel, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Komputer Akutansi
Staf Pendukung Administrasi Keuangan,"""Direktorat. Konservasi Keanekaragaman Hayati, Deputi Bidang Pengendalian Pencemaran dan Kerusakan Lingkungan""","Jl. DI Panjaitan Kav. 24, Kebon Nanas, Jakarta Timur Gedung B Lantai 4, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Ekonomi
Content Licensing Support,PT Vidio Dot Com,"SCTV TOWER - SENAYAN CITY LT. 14, JL. ASIA AFRIKA LOT 19, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Manajemen Produksi Media, Manajemen Produksi Siaran, Televisi Dan Film, Ilmu Komunikasi"
Finance,PT Vidio Dot Com,"SCTV TOWER - SENAYAN CITY LT. 14, JL. ASIA AFRIKA LOT 19, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Akuntansi, Akuntansi Keuangan, Akuntansi Manajemen, Manajemen"
Live Streaming Operations,PT Vidio Dot Com,"SCTV TOWER - SENAYAN CITY LT. 14, JL. ASIA AFRIKA LOT 19, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Penyiaran, Film dan Televisi, Ilmu Komunikasi, Sistem dan Teknologi Informasi, Jurnalistik"
Staf Tata Usaha,Biro Hubungan Masyarakat,"Jalan Jenderal Gatot Subroto Kav. 51, Jakarta Selatan., KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Manajemen Administrasi, Manajemen Administrasi Perkantoran, Administrasi, Ilmu Administrasi Negara, Manajemen Rekod dan Arsip"
PENGELOLA FASILITAS UMUM,KANTOR WILAYAH DIREKTORAT JENDERAL PEMASYARAKATAN DAERAH KHUSUS JAKARTA,"Jln. MT. Haryono No. 24 Cawang Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Teknik Elektro
Apoteker,LEMBAGA PEMASYARAKATAN PEREMPUAN KELAS IIA JAKARTA,"Jalan bambu asri raya, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Farmasi, Farmasi Klinis"
HC Intern,PT Adi Sarana Armada Tbk,"Samudera Kirana, Lt. 6, Jl. Yos Sudarso No.88, RT.9/RW.11, Sunter Jaya, Tj. Priok, Kota Jkt Utara,
Daerah Khusus Ibukota Jakarta, KOTA ADM. JAKARTA UTARA, DKI JAKARTA","Administrasi Bisnis, Manajemen, Psikologi, Logistik"
Perawat  Kesehatan,LEMBAGA PEMASYARAKATAN PEREMPUAN KELAS IIA JAKARTA,"Jalan bambu asri raya, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Ilmu Gizi
PENGELOLA KEHUMASAN,KANTOR WILAYAH DIREKTORAT JENDERAL PEMASYARAKATAN DAERAH KHUSUS JAKARTA,"Jln. MT. Haryono No. 24 Cawang Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Komunikasi
Pembinaan Kemandirian,LEMBAGA PEMASYARAKATAN PEREMPUAN KELAS IIA JAKARTA,"Jalan bambu asri raya, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Ilmu Pertanian
Video Editor,PT Vidio Dot Com,"SCTV TOWER - SENAYAN CITY LT. 14, JL. ASIA AFRIKA LOT 19, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ilmu Komunikasi, Manajemen & Produksi Film Video & TV, Manajemen Produksi Media, Film Dan Televisi"
KONSULTAN HUKUM,KANTOR WILAYAH DIREKTORAT JENDERAL PEMASYARAKATAN DAERAH KHUSUS JAKARTA,"Jln. MT. Haryono No. 24 Cawang Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Hukum
Pembinaan Kepribadian,LEMBAGA PEMASYARAKATAN PEREMPUAN KELAS IIA JAKARTA,"Jalan bambu asri raya, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Pendidikan Agama Islam
Pengelola Fasilitas Umum,LEMBAGA PEMASYARAKATAN PEREMPUAN KELAS IIA JAKARTA,"Jalan bambu asri raya, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Teknik Informatika
Pengelola BMN,LEMBAGA PEMASYARAKATAN PEREMPUAN KELAS IIA JAKARTA,"Jalan bambu asri raya, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Manajemen Aset Publik
Pembinaan Kemandirian,LEMBAGA PEMASYARAKATAN PEREMPUAN KELAS IIA JAKARTA,"Jalan bambu asri raya, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Tata Boga
Pengelola Fasilitas Umum,LEMBAGA PEMASYARAKATAN PEREMPUAN KELAS IIA JAKARTA,"Jalan bambu asri raya, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Teknik Elektro
